# the second line is the name of the group for each of these map regions values are: Name,ID,North,West,South,East
model regions
World,GBL,90,0,-90,360
Northern Hemisphere,NH,90,-180,15,180
Southern Hemisphere,SH,-15,-180,-90,180
South Pacific,SP,0,95,-87.5,-85
South Atlantic,SA,0,-85,-90,95
Continental U.S.,US,50,-125,25,-60
Western U.S.,WUS,50,-130,30,-100
Eastern U.S.,EUS,50,-100,22,-50
Europe,EU,70,-15,30,60
North Pacific,NP,90,95,0,-85
North Atlantic,NA,90,-100,0,30
Tropical Pacific,TPAC,25,100,-25,-70
Africa,AF,40,-20,-40,115
Asia-Pacific,AP,80,30,-40,-150
Australia,AUS,0,110,-55,180
Antarctica,ANT,-60,-180,-90,180
